Episode number,Directed by,Written by,Original air date,Prod. code,U.S. viewers (millions),
1,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"September 21, 1995(1995-09-21)",457301,32.1[36],N/A
2,Michael Lembeck,Adam Chase & Ira Ungerleider,"September 28, 1995(1995-09-28)",457302,29.8[37],N/A
3,Kevin S. Bright,Michael Curtis& Gregory S. Malins,"October 5, 1995(1995-10-05)",457303,30.2[38],N/A
4,Gail Mancuso,Alexa Junge,"October 12, 1995(1995-10-12)",457305,28.1[39],N/A
5,Ellen Gittelsohn,Chris Brown,"October 19, 1995(1995-10-19)",457304,28.3[40],N/A
6,Gail Mancuso,Betsy Borns,"November 2, 1995(1995-11-02)",457306,30.2[41],N/A
7,Peter Bonerz,Michael Borkow,"November 9, 1995(1995-11-09)",457307,30.5[42],N/A
8,Mary Kay Place,David Crane&Marta Kauffman,"November 16, 1995(1995-11-16)",457308,32.9[43],N/A
9,Kevin S. Bright,Jeffrey Astrof & Mike Sikowitz,"December 14, 1995(1995-12-14)",457309,27.8[44],N/A
10,Thomas Schlamme,Ira Ungerleider,"January 4, 1996(1996-01-04)",457311,32.2[45],N/A
11,Thomas Schlamme,Doty Abrams,"January 18, 1996(1996-01-18)",457312,31.6[46],N/A
12,Michael Lembeck,Jeffrey Astrof & Mike Sikowitz,"January 28, 1996(1996-01-28)[b]",457313,52.9[47],28.2[48]
14,James Burrows,Alexa Junge,"February 1, 1996(1996-02-01)",457310,33.6[49],16.8[50]
15,Michael Lembeck,Michael Curtis & Gregory S. Malins,"February 8, 1996(1996-02-08)",457315,32.9[51],16.4[52]
16,Michael Lembeck,Betsy Borns,"February 15, 1996(1996-02-15)",457316,31.1[53],15.7[54]
17,Michael Lembeck,Adam Chase,"February 22, 1996(1996-02-22)",457317,30.2[55],15.0[56]
18,Michael Lembeck,Story by: Alexa JungeTeleplay by: Michael Borkow,"March 21, 1996(1996-03-21)",457318,30.1[57],14.5[58]
19,Michael Lembeck,Michael Curtis & Gregory S. Malins,"March 28, 1996(1996-03-28)",457319,31.2[59],16.1[60]
20,Michael Lembeck,Story by: Michael Curtis & Gregory S. MalinsTeleplay by: Adam Chase,"April 4, 1996(1996-04-04)",457320,27.4[61],13.8[62]
21,Michael Lembeck,Brian Buckner&Sebastian Jones,"April 25, 1996(1996-04-25)",457321,24.7[63],12.4[64]
22,Michael Lembeck,Alexa Junge,"May 2, 1996(1996-05-02)",457322,25.5[65],12.2[66]
23,Michael Lembeck,Brown Mandell,"May 9, 1996(1996-05-09)",457324,26.1[67],13.0[68]
24,Michael Lembeck,Story by: Ira UngerleiderTeleplay by: Brown Mandell,"May 16, 1996(1996-05-16)",457323,29.0[69],13.9[70]
1,Gail Mancuso,Michael Curtis& Gregory S. Malins,"September 19, 1996(1996-09-19)",465251,26.76[71],13.8/42[72]
2,Gail Mancuso,Ira Ungerleider,"September 26, 1996(1996-09-26)",465252,26.73[73],13.3/39[74]
3,Kevin S. Bright,Wil Calhoun,"October 3, 1996(1996-10-03)",465253,25.23[75],12.9/40[76]
4,Steve Zuckerman,Alexa Junge,"October 10, 1996(1996-10-10)",465254,26.10[77],13.6/40[78]
5,Steve Zuckerman,Shana Goldberg-Meehan&Scott Silveri,"October 17, 1996(1996-10-17)",465255,23.25[79],12.1/34[80]
6,Peter Bonerz,David Crane&Marta Kauffman,"October 31, 1996(1996-10-31)",465256,23.27[81],12.0/36[82]
7,Gail Mancuso,Seth Kurland,"November 7, 1996(1996-11-07)",465257,27.36[83],13.7/38[84]
8,Gail Mancuso,Adam Chase,"November 14, 1996(1996-11-14)",465258,28.69[85],14.3/38[86]
9,Kevin S. Bright,Ira Ungerleider,"November 21, 1996(1996-11-21)",465259,29.28[87],15.2/41[88]
10,Terry Hughes,Gregory S. Malins & Michael Curtis,"December 12, 1996(1996-12-12)",465260,25.10[89],12.4/36[90]
11,Terry Hughes,Alexa Junge,"January 9, 1997(1997-01-09)",465261,29.80[91],15.3/37[92]
12,Robby Benson,Doty Abrams,"January 16, 1997(1997-01-16)",465262,29.61[93],15.0/38[94]
13,Robby Benson,Michael Borkow,"January 30, 1997(1997-01-30)",465265,28.03[95],14.3/38[96]
14,Robby Benson,Wil Calhoun,"February 6, 1997(1997-02-06)",465266,28.91[97],15.2/40[98]
15,James Burrows,Michael Borkow,"February 13, 1997(1997-02-13)",465263,27.25[99],13.9/38[100]
16,James Burrows,David Crane & Marta Kauffman,"February 20, 1997(1997-02-20)",465264,28.26[101],14.5/40[102]
17,Sam Simon,Shana Goldberg-Meehan & Scott Silveri,"March 6, 1997(1997-03-06)",465267,25.84[103],12.9/37[104]
18,Robby Benson,Seth Kurland,"March 13, 1997(1997-03-13)",465269,28.07[105],13.4/37[106]
19,Terry Hughes,Adam Chase,"March 27, 1997(1997-03-27)",465268,23.65[107],11.9/38[108]
20,Terry Hughes,Wil Calhoun,"April 10, 1997(1997-04-10)",465270,24.36[109],12.6/39[110]
21,Michael Lembeck,Chris Brown,"April 17, 1997(1997-04-17)",465271,23.22[111],11.5/36[112]
22,Peter Bonerz,Shana Goldberg-Meehan & Scott Silveri,"April 24, 1997(1997-04-24)",465272,22.63[113],11.9/37[114]
23,Shelley Jensen,Ted Cohen & Andrew Reich,"May 1, 1997(1997-05-01)",465274,24.17[115],12.9/39[116]
24,Robby Benson,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Shana Goldberg-Meehan & Scott Silveri,"May 8, 1997(1997-05-08)",465273,23.07[117],12.2/38[118]
25,Pamela Fryman,Story by: Pang-Ni Landrum & Mark KunerthTeleplay by: Adam Chase,"May 15, 1997(1997-05-15)",465275,23.39[119],N/A
1,Shelley Jensen,Wil Calhoun,"September 25, 1997(1997-09-25)",466601,29.43[120],15.5/44[121]
2,Shelley Jensen,"Jill Condon
& Amy Toomin","October 2, 1997(1997-10-02)",466602,25.54[122],13.3/40[123]
3,Peter Bonerz,Seth Kurland,"October 9, 1997(1997-10-09)",466603,23.98[124],12.4/37[125]
4,Gail Mancuso,Ted Cohen & Andrew Reich,"October 16, 1997(1997-10-16)",466604,24.31[126],12.6/37[127]
5,Gail Mancuso,Gregory S. Malins &Michael Curtis,"October 30, 1997(1997-10-30)",466605,24.35[128],12.7/35[129]
6,Shelley Jensen,Shana Goldberg-Meehan&Scott Silveri,"November 6, 1997(1997-11-06)",466606,25.68[130],13.5/38[131]
7,Kevin S. Bright,Adam Chase,"November 13, 1997(1997-11-13)",466607,26.35[132],13.9/38[133]
8,Peter Bonerz,Michael Borkow,"November 20, 1997(1997-11-20)",466608,26.76[134],13.7/39[135]
9,Peter Bonerz,Ted Cohen & Andrew Reich,"December 11, 1997(1997-12-11)",466609,23.89[136],N/A
10,Gary Halvorson,Scott Silveri,"December 18, 1997(1997-12-18)",466612,23.22[137],N/A
11,David Steinberg,Seth Kurland,"January 8, 1998(1998-01-08)",466610,23.66[138],N/A
12,Kevin S. Bright,Jill Condon & Amy Toomin,"January 15, 1998(1998-01-15)",466611,27.14[139],N/A
13,Dana DeVally Piazza,Shana Goldberg-Meehan,"January 29, 1998(1998-01-29)",466613,25.27[140],13.0/36[141]
14,Peter Bonerz,Wil Calhoun,"February 5, 1998(1998-02-05)",466614,25.08[142],14.5/37[143]
15,James Burrows,Story by: Ted Cohen & Andrew ReichTeleplay by: Wil Calhoun,"February 26, 1998(1998-02-26)",466617,24.44[144],12.8/35[145]
16,Michael Lembeck,Story by: Alicia Sky VarinaitisTeleplay by: Scott Silveri & Shana Goldberg-Meehan,"March 19, 1998(1998-03-19)",466615,23.13[146],11.7/33[147]
17,Michael Lembeck,Story by: Mark KunerthTeleplay by: Richard Goodman,"March 26, 1998(1998-03-26)",466616,23.22[148],12.1/36[149]
18,Gail Mancuso,Story by: Andrew Reich & Ted CohenTeleplay by: Jill Condon & Amy Toomin,"April 2, 1998(1998-04-02)",466620,21.72[150],11.5/33[151]
19,Kevin S. Bright,Scott Silveri & Wil Calhoun,"April 9, 1998(1998-04-09)",466618,21.76[152],11.4/36[153]
20,Gail Mancuso,Story by: Adam ChaseTeleplay by: Gregory S. Malins & Michael Curtis,"April 16, 1998(1998-04-16)",466621,21.94[154],11.6/35[155]
21,Peter Bonerz,Seth Kurland,"April 23, 1998(1998-04-23)",466619,21.51[156],11.3/37[157]
22,Peter Bonerz,Story by: Seth KurlandTeleplay by: Gregory S. Malins & Michael Curtis,"April 30, 1998(1998-04-30)",466622,23.15[158],11.9/38[159]
23,Kevin S. Bright,Michael Borkow,"May 7, 1998(1998-05-07)[b]",466623,31.61[160],16.7/49[161]
1,Kevin S. Bright,Seth Kurland,"September 24, 1998(1998-09-24)",467651,31.12[162],16.6/46[163]
2,Gary Halvorson,Wil Calhoun,"October 1, 1998(1998-10-01)",467652,25.36[164],13.3/40[165]
3,Kevin S. Bright,David Crane&Marta Kauffman,"October 8, 1998(1998-10-08)",467653,26.82[166],N/A
4,Shelley Jensen,Michael Curtis,"October 15, 1998(1998-10-15)",467654,24.09[167],12.7/38[168]
5,Dana DeVally Piazza,Scott Silveri,"October 29, 1998(1998-10-29)",467655,25.87[169],13.5/38[170]
6,Gary Halvorson,Alexa Junge,"November 5, 1998(1998-11-05)",467656,24.99[171],13.1/36[172]
7,Gary Halvorson,Gigi McCreery&Perry Rein,"November 12, 1998(1998-11-12)",467657,24.44[173],12.9/36[174]
8,Kevin S. Bright,Gregory S. Malins,"November 19, 1998(1998-11-19)",467659,23.92[175],12.4/35[176]
9,Gary Halvorson,Ted Cohen & Andrew Reich,"December 10, 1998(1998-12-10)",467658,23.03[177],11.9/35[178]
10,Dana DeVally Piazza,Shana Goldberg-Meehan,"December 17, 1998(1998-12-17)",467661,23.67[179],12.0/36[180]
11,Joe Regalbuto,Story by: Brian BoyleTeleplay by:Suzie Villandry,"January 7, 1999(1999-01-07)",467660,27.02[181],14.2/37[182]
12,Kevin S. Bright,Alicia Sky Varinaitis,"January 21, 1999(1999-01-21)",467663,24.82[183],13.3/35[184]
13,Gail Mancuso,Story by: Michael CurtisTeleplay by: Seth Kurland,"February 4, 1999(1999-02-04)",467662,24.92[185],13.2/36[186]
14,Michael Lembeck,Alexa Junge,"February 11, 1999(1999-02-11)",467664,27.70[187],15.0/41[188]
15,Kevin S. Bright,Adam Chase,"February 18, 1999(1999-02-18)",467665,29.31[189],15.3/40[190]
16,Andrew Tsao,Story by: Alicia Sky VarinaitisTeleplay by: Gigi McCreery & Perry Rein,"February 25, 1999(1999-02-25)",467666,26.02[191],13.9/37[192]
17,Shelley Jensen,Andrew Reich & Ted Cohen,"March 18, 1999(1999-03-18)",467667,24.48[193],12.7/35[194]
18,Todd Holland,Michael Curtis,"April 8, 1999(1999-04-08)",467668,21.88[195],11.8/38[196]
19,Gail Mancuso,Doty Abrams,"April 22, 1999(1999-04-22)",467669,20.85[197],10.9/36[198]
20,Gary Halvorson,Shana Goldberg-Meehan & Seth Kurland,"April 29, 1999(1999-04-29)",467670,19.63[199],10.8/34[200]
21,Gary Halvorson,Story by: Scott SilveriTeleplay by: Gregory S. Malins,"May 6, 1999(1999-05-06)",467671,20.92[201],11.2/36[202]
22,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Wil Calhoun,"May 13, 1999(1999-05-13)",467672,21.28[203],11.2/35[204]
23,Kevin S. Bright,Ted Cohen & Andrew Reich,"May 20, 1999(1999-05-20)[b]",467673,25.90[205],14.2/42[206]
1,Kevin S. Bright,Adam Chase,"September 23, 1999(1999-09-23)",225551,27.74[207],15.0/44[208]
2,Gail Mancuso,Shana Goldberg-Meehan,"September 30, 1999(1999-09-30)",225552,22.95[209],11.9/37[210]
3,Gary Halvorson,Seth Kurland,"October 7, 1999(1999-10-07)",225553,21.60[211],11.5/34[212]
4,Gary Halvorson,Andrew Reich & Ted Cohen,"October 14, 1999(1999-10-14)",225554,21.07[213],11.2/34[214]
5,Gary Halvorson,Perry Rein&Gigi McCreery,"October 21, 1999(1999-10-21)",225555,22.39[215],11.5/34[216]
6,David Schwimmer,Scott Silveri,"November 4, 1999(1999-11-04)",225556,23.59[217],12.3/34[218]
7,Gary Halvorson,Sherry Bilsing-Graham & Ellen Plummer,"November 11, 1999(1999-11-11)",225557,22.75[219],11.6/31[220]
8,Gary Halvorson,Story by: Andrew Reich & Ted CohenTeleplay by: Perry Rein & Gigi McCreery,"November 18, 1999(1999-11-18)",225558,22.14[221],10.8/31[222]
9,Kevin S. Bright,Gregory S. Malins,"November 25, 1999(1999-11-25)",225559,19.17[223],8.7/25[224]
10,Kevin S. Bright,Brian Boyle,"December 16, 1999(1999-12-16)",225561,22.43[225],10.8/33[226]
11,Kevin S. Bright,Story by: Zachary RosenblattTeleplay by: Brian Boyle,"January 6, 2000(2000-01-06)",225560,22.26[227],11.0/30[228]
12,Gary Halvorson,Story by: Shana Goldberg-MeehanTeleplay by: Andrew Reich & Ted Cohen,"January 13, 2000(2000-01-13)",225562,22.33[229],11.4/30[230]
13,Gary Halvorson,Story by: Seth KurlandTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,"February 3, 2000(2000-02-03)",225563,24.14[231],12.2/34[232]
14,Kevin S. Bright,Andrew Reich & Ted Cohen,"February 10, 2000(2000-02-10)",225564,23.82[233],12.1/33[234]
15,Michael Lembeck,Gregory S. Malins & Adam Chase,"February 17, 2000(2000-02-17)[b]",225565,25.89[235],13.7/35[236]
17,Gary Halvorson,Story by: Zachary RosenblattTeleplay by: Adam Chase,"February 24, 2000(2000-02-24)",225568,22.21[237],11.3/31[238]
18,Gary Halvorson,Seth Kurland,"March 9, 2000(2000-03-09)",225567,20.52[239],10.1/29[240]
19,Ben Weiss,Story by: Seth KurlandTeleplay by: Gigi McCreery & Perry Rein,"March 23, 2000(2000-03-23)",225569,21.46[241],10.4/30[242]
20,Kevin S. Bright,Doty Abrams,"April 13, 2000(2000-04-13)",225575,18.81[243],9.6/31[244]
21,Michael Lembeck,Story by: David J. LaganaTeleplay by: Scott Silveri,"April 27, 2000(2000-04-27)",225570,20.63[245],10.8/32[246]
22,Gary Halvorson,Story by: Brian CaldirolaTeleplay by: Sherry Bilsing-Graham & Ellen Plummer,"May 4, 2000(2000-05-04)",225571,20.01[247],10.2/33[248]
23,Gary Halvorson,Ted Cohen & Andrew Reich,"May 11, 2000(2000-05-11)",225572,20.87[249],10.2/34[250]
24,Kevin S. Bright,Shana Goldberg-Meehan & Scott Silveri,"May 18, 2000(2000-05-18)[b]",225573,30.73[251],16.0/44[252]
1,Kevin S. Bright,Story by:Wil CalhounTeleplay by:David Crane&Marta Kauffman,"October 12, 2000(2000-10-12)",226401,25.54[253],13.7/38[254]
2,Michael Lembeck,Andrew Reich & Ted Cohen,"October 12, 2000(2000-10-12)",226402,27.93[253],15.4/39[254]
3,Gary Halvorson,Sherry Bilsing & Ellen Plummer,"October 19, 2000(2000-10-19)",226405,22.72[255],11.7/35[256]
4,David Schwimmer,Brian Boyle,"October 26, 2000(2000-10-26)",226403,22.66[257],11.7/32[258]
5,Gary Halvorson,Story by: Earl DavisTeleplay by:Patty Lin,"November 2, 2000(2000-11-02)",226404,24.43[259],12.8/34[260]
6,Gary Halvorson,Brian Buckner&Sebastian Jones,"November 9, 2000(2000-11-09)",226406,22.01[261],11.2/30[262]
7,David Schwimmer,Scott Silveri,"November 16, 2000(2000-11-16)",226410,23.73[263],12.1/32[264]
8,Kevin S. Bright,Patty Lin,"November 23, 2000(2000-11-23)",226407,16.57[265],7.3/22[266]
9,David Schwimmer,Wil Calhoun,"December 7, 2000(2000-12-07)",226408,21.08[267],11.0/30[268]
10,Gary Halvorson,Gregory S. Malins,"December 14, 2000(2000-12-14)",226409,23.26[269],11.5/32[270]
11,Gary Halvorson,Shana Goldberg-Meehan,"January 4, 2001(2001-01-04)",226412,24.37[271],12.4/32[272]
12,Kevin S. Bright,Zack Rosenblatt,"January 11, 2001(2001-01-11)",226413,22.86[273],11.6/30[274]
13,Stephen Prime,Story by: Ellen Plummer & Sherry BilsingTeleplay by: Brian Buckner & Sebastian Jones,"February 1, 2001(2001-02-01)",226415,22.24[275],10.8/27[276]
14,Ben Weiss,Story by:Vanessa McCarthyTeleplay by: Ellen Plummer & Sherry Bilsing,"February 8, 2001(2001-02-08)",226411,22.40[277],11.2/27[278]
15,Kevin S. Bright,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Andrew Reich & Ted Cohen,"February 15, 2001(2001-02-15)",226416,21.75[279],10.6/27[280]
16,David Schwimmer,Story by: Brian Buckner & Sebastian JonesTeleplay by: Zachary Rosenblatt,"February 22, 2001(2001-02-22)",226417,21.22[281],9.9/24[282]
17,Kevin S. Bright,Story by: Brian Buckner & Sebastian JonesTeleplay by: Andrew Reich & Ted Cohen,"March 15, 2001(2001-03-15)",226414,20.84[283],10.0/29[284]
18,Gary Halvorson,Story by: Sherry Bilsing & Ellen PlummerTeleplay by: Brian Boyle,"March 29, 2001(2001-03-29)",226418,17.81[285],8.1/21[286]
19,Gary Halvorson,Andrew Reich & Ted Cohen,"April 19, 2001(2001-04-19)",226421,16.55[287],7.7/22[288]
20,Gary Halvorson,Scott Silveri & Shana Goldberg-Meehan,"April 26, 2001(2001-04-26)",226419,16.30[289],8.1/24[290]
21,Gary Halvorson,Doty Abrams,"May 3, 2001(2001-05-03)",226424,15.65[291],7.6/21[292]
22,Kevin S. Bright & Gary Halvorson,Story by: Gregory S. MalinsTeleplay by: Brian Buckner & Sebastian Jones,"May 10, 2001(2001-05-10)",226420,17.23[293],8.6/27[294]
23,Kevin S. Bright,Gregory S. Malins,"May 17, 2001(2001-05-17)[b]",226422,30.05[295],15.7/43[296]
1,Kevin S. Bright,David Crane&Marta Kauffman,"September 27, 2001(2001-09-27)",227401,31.70[297],15.8/43[298]
2,David Schwimmer,Dana Klein Borkow,"October 4, 2001(2001-10-04)",227402,30.04[299],14.7/41[300]
